dx,dy,vel,spring,next_dir,is_stuck,action
-2,-3,0,0,LEFT,0,NONE
-2,-3,0,0,LEFT,0,NONE
-2,-3,0,0,LEFT,0,NONE
-2,-3,1,0,LEFT,0,NONE
-2,-3,1,0,LEFT,0,NONE
-2,-3,2,0,LEFT,0,NONE
-2,-3,2,0,LEFT,0,NONE
-2,-3,2,0,LEFT,0,NONE
-2,-3,3,0,LEFT,0,NONE
-2,-3,3,0,LEFT,0,NONE
-2,-3,3,0,LEFT,0,NONE
-2,-3,4,0,LEFT,0,NONE
-2,-3,4,0,LEFT,0,NONE
-2,-4,5,0,RIGHT,0,NONE
-2,-4,5,0,RIGHT,0,NONE
-2,-4,6,0,RIGHT,0,NONE
-2,-4,6,0,RIGHT,0,NONE
-2,-4,6,0,RIGHT,0,NONE
-2,-4,7,0,RIGHT,0,NONE
-2,-5,7,0,RIGHT,0,NONE
-2,-5,8,0,RIGHT,0,NONE
-2,-5,8,0,RIGHT,0,NONE
-2,-5,8,0,RIGHT,0,NONE
-2,-5,9,0,RIGHT,0,NONE
-2,-6,9,0,RIGHT,0,NONE
-2,-6,10,0,RIGHT,0,NONE
-2,-6,10,0,RIGHT,0,NONE
-2,-6,10,0,RIGHT,0,NONE
-2,-7,11,0,RIGHT,0,NONE
1,-1,-11,0,RIGHT,0,NONE
1,-1,-10,0,RIGHT,0,NONE
1,0,-10,0,RIGHT,0,NONE
1,0,-9,0,RIGHT,0,NONE
1,0,-9,0,RIGHT,0,NONE
1,0,-8,0,RIGHT,0,NONE
1,0,-8,0,RIGHT,0,NONE
1,1,-8,0,RIGHT,0,NONE
1,1,-7,0,RIGHT,0,NONE
1,1,-7,0,RIGHT,0,NONE
1,1,-6,0,RIGHT,0,NONE
1,1,-6,0,RIGHT,0,NONE
1,2,-6,0,RIGHT,0,NONE
1,2,-5,0,RIGHT,0,NONE
1,2,-5,0,RIGHT,0,NONE
1,2,-4,0,RIGHT,0,NONE
1,2,-4,0,RIGHT,0,NONE
1,2,-4,0,RIGHT,0,NONE
1,2,-3,0,RIGHT,0,NONE
1,2,-3,0,RIGHT,0,NONE
1,2,-2,0,RIGHT,0,NONE
1,3,-2,0,LEFT,0,NONE
1,3,-2,0,LEFT,0,NONE
1,3,-1,0,LEFT,0,NONE
1,3,-1,0,LEFT,0,NONE
1,3,0,0,LEFT,0,NONE
1,3,0,0,LEFT,0,NONE
1,3,0,0,LEFT,0,NONE
1,3,0,0,LEFT,0,NONE
1,3,0,0,LEFT,0,NONE
1,3,1,0,LEFT,0,NONE
1,3,1,0,LEFT,0,NONE
1,3,1,0,LEFT,0,NONE
1,3,2,0,LEFT,0,NONE
1,2,2,0,RIGHT,0,NONE
1,2,3,0,RIGHT,0,NONE
1,2,3,0,RIGHT,0,NONE
1,2,3,0,RIGHT,0,NONE
1,2,4,0,RIGHT,0,NONE
1,2,4,0,RIGHT,0,NONE
1,2,5,0,RIGHT,0,NONE
1,2,5,0,RIGHT,0,NONE
1,2,5,0,RIGHT,0,NONE
1,1,6,0,RIGHT,0,NONE
1,1,6,0,RIGHT,0,NONE
1,1,7,0,RIGHT,0,NONE
1,1,7,0,RIGHT,0,NONE
1,1,7,0,RIGHT,0,NONE
1,0,8,0,RIGHT,0,NONE
1,0,8,0,RIGHT,0,NONE
1,0,9,0,RIGHT,0,NONE
1,0,9,0,RIGHT,0,NONE
1,0,9,0,RIGHT,0,NONE
1,-1,10,0,RIGHT,0,NONE
1,-1,-11,0,RIGHT,1,NONE
1,-1,-10,0,RIGHT,1,NONE
1,-3,-10,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-2,-8,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-1,-6,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-2,0,RIGHT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,2,0,LEFT,1,NONE
1,-1,2,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-1,10,0,RIGHT,1,NONE
1,-1,-11,0,RIGHT,1,NONE
1,-1,-10,0,RIGHT,1,NONE
1,-3,-10,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-2,-8,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-1,-6,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-2,0,RIGHT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,2,0,LEFT,1,NONE
1,-1,2,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-1,10,0,RIGHT,1,NONE
1,-1,-11,0,RIGHT,1,NONE
1,-1,-10,0,RIGHT,1,NONE
1,-3,-10,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-2,-8,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-1,-6,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-2,0,RIGHT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,2,0,LEFT,1,NONE
1,-1,2,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-1,10,0,RIGHT,1,NONE
1,-1,-11,0,RIGHT,1,NONE
1,-1,-10,0,RIGHT,1,NONE
1,-3,-10,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-2,-8,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-1,-6,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-2,0,RIGHT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,2,0,LEFT,1,NONE
1,-1,2,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-1,10,0,RIGHT,1,NONE
1,-1,-11,0,RIGHT,1,NONE
1,-1,-10,0,RIGHT,1,NONE
1,-3,-10,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-2,-8,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-1,-6,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-2,0,RIGHT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,2,0,LEFT,1,NONE
1,-1,2,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-1,10,0,RIGHT,1,NONE
1,-1,-11,0,RIGHT,1,NONE
1,-1,-10,0,RIGHT,1,NONE
1,-3,-10,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-2,-8,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-1,-6,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-2,0,RIGHT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,2,0,LEFT,1,NONE
1,-1,2,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-1,10,0,RIGHT,1,NONE
1,-1,-11,0,RIGHT,1,NONE
1,-1,-10,0,RIGHT,1,NONE
1,-3,-10,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-2,-8,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-1,-6,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-2,0,RIGHT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,2,0,LEFT,1,NONE
1,-1,2,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-1,10,0,RIGHT,1,NONE
1,-1,-11,0,RIGHT,1,NONE
1,-1,-10,0,RIGHT,1,NONE
1,-3,-10,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-2,-8,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-1,-6,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-2,0,RIGHT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,2,0,LEFT,1,NONE
1,-1,2,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-1,10,0,RIGHT,1,NONE
1,-1,-11,0,RIGHT,1,NONE
1,-1,-10,0,RIGHT,1,NONE
1,-3,-10,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-2,-8,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-1,-6,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-3,0,RIGHT,1,NONE
1,-1,-2,0,RIGHT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-2,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,-1,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,0,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,1,0,LEFT,1,NONE
-2,-3,2,0,LEFT,1,NONE
1,-1,2,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,3,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,4,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-1,5,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,6,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-2,7,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,8,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-3,9,0,RIGHT,1,NONE
1,-1,10,0,RIGHT,1,NONE
1,-1,-11,0,RIGHT,1,NONE
1,-1,-10,0,RIGHT,1,NONE
1,-3,-10,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
1,-3,-9,0,RIGHT,1,NONE
